url,URLCategory
google.com.om,"['reference-and-research', 'search-engines']"
google.com.pe,"['search-engines', 'translation']"
google.com.ph,"['search-engines', 'translation']"
google.com.pk,"['search-engines', 'translation']"
google.com.pr,"['search-engines', 'translation']"
google.com.ru,"['search-engines', 'translation']"
google.com.sl,"['search-engines', 'translation']"
google.com.tj,"['search-engines', 'translation']"
google.com.tn,"['search-engines', 'translation']"
google.com.tr,"['search-engines', 'translation']"
google.com.tw,"['search-engines', 'translation']"
google.cz,"['search-engines', 'translation']"
google.de,"['reference-and-research', 'search-engines', 'translation']"
google.dk,"['reference-and-research', 'search-engines', 'translation']"
google.dm,"['search-engines', 'translation']"
google.dz,"['reference-and-research', 'search-engines']"
google.es,"['search-engines', 'translation']"
google.fr,"['reference-and-research', 'search-engines', 'translation']"
google.ge,"['search-engines', 'translation']"
google.gp,"['reference-and-research', 'search-engines', 'translation']"
google.hk,"['search-engines', 'translation']"
google.hn,"['reference-and-research', 'search-engines', 'translation']"
google.hu,"['search-engines', 'translation']"
google.ie,"['reference-and-research', 'search-engines', 'translation']"
google.iq,"['search-engines', 'translation']"
google.is,"['search-engines', 'translation']"
google.it,"['reference-and-research', 'search-engines', 'translation']"
google.jo,"['reference-and-research', 'search-engines', 'translation']"
google.kz,"['search-engines', 'translation']"
google.lt,"['reference-and-research', 'search-engines']"
google.lu,"['search-engines', 'translation']"
google.md,"['search-engines', 'translation']"
google.me,"['search-engines', 'translation']"
google.mg,"['search-engines', 'translation']"
google.mu,"['search-engines', 'translation']"
google.mw,"['reference-and-research', 'search-engines']"
google.net,"['search-engines', 'translation']"
google.nl,"['search-engines', 'translation']"
google.no,"['reference-and-research', 'search-engines']"
google.pl,"['reference-and-research', 'search-engines']"
google.pn,"['search-engines', 'translation']"
google.ps,"['search-engines', 'translation']"
google.pt,"['reference-and-research', 'search-engines', 'translation']"
google.ro,"['search-engines', 'translation']"
google.rs,"['search-engines', 'translation']"
google.ru,"['internal-resource-search', 'reference-and-research', 'search-engines', 'shopping', 'translation']"
google.rw,"['reference-and-research', 'search-engines', 'translation']"
google.se,"['reference-and-research', 'search-engines', 'translation']"
google.sk,"['search-engines', 'translation']"
google.sn,"['search-engines', 'translation']"
google.so,"['search-engines', 'translation']"
google.td,"['search-engines', 'translation']"
google.tm,"['search-engines', 'translation']"
google.tn,"['search-engines', 'translation']"
